accountID,num_of_pymt,avg_pymt_amount,last_payment_date
5719244,2,12.5,2016-03-04
5738553,2,18,2016-02-08
5742682,3,18.33,2016-04-26
5749397,4,3.98,2016-03-02
5754581,2,3.31,2016-03-16
5767879,24,26.47,2016-08-18
5770720,3,9,2016-03-26
5773059,4,9,2016-03-28
5779591,2,8,2016-04-17
5789455,3,15,2016-07-08
5800822,2,1,2016-06-04
5808800,2,7.75,2016-06-16
5825650,7,6,2016-08-29
5819184,2,25,2016-08-09
5834936,2,2.49,2016-07-30
5830039,2,4.66,2016-08-23
5835315,2,10.5,2016-09-01
5836855,2,1.9,2016-08-10
5840221,2,10.29,2016-08-18
5844235,3,6.8,2016-09-01
5847486,2,4.85,2016-08-23
5048246,4,18.46,2016-08-27
5108400,5,4,2016-05-29
5110688,4,99.63,2016-07-20
5132311,2,37.5,2016-08-22
5144967,6,13.92,2016-08-21
5167030,9,8.87,2016-06-29
5167939,8,10,2016-08-15
5200750,2,12.5,2016-02-20
5205383,15,41.23,2016-08-25
5220213,6,3.75,2016-08-20
5220822,8,9.38,2016-08-21
5232714,9,2.22,2016-08-03
5235466,10,3.5,2016-07-22
5261303,2,12.5,2016-06-29
5278911,2,29.15,2016-02-07
5314354,2,14.57,2016-02-18
5318256,5,10.26,2016-05-19
5331430,2,12.5,2016-08-23
5363050,2,50,2016-07-03
5382916,6,3.33,2016-08-14
5411517,2,15,2016-02-20
5416549,2,175,2016-07-23
5419574,2,18.5,2016-06-07
5442619,3,38.67,2016-05-30
5444524,4,14.5,2016-08-06
5452122,5,9.8,2016-08-25
5772157,3,28.32,2016-06-04
5774907,6,6.24,2016-08-14
5792874,4,5.69,2016-05-31
5794875,2,10,2016-07-06
5806385,3,14.45,2016-08-13
5830157,2,28.5,2016-07-20
5836807,2,4.66,2016-08-03
5837331,2,4.04,2016-08-03
5838478,3,-8.33,2016-08-10
5843974,2,7.5,2016-08-19
5483176,2,2.5,2016-06-13
5503453,4,6.22,2016-08-06
5498627,5,4,2016-09-01
5512318,2,5.75,2016-05-30
5514954,5,10.26,2016-06-05
5629846,3,3.8,2016-04-02
5527287,10,0.5,2016-04-28
5531305,2,2.73,2016-03-10
5546914,5,11.1,2016-08-26
5560215,3,7.27,2016-03-08
5569807,10,17.5,2016-08-16
5593683,2,29,2016-05-05
5594093,3,28.17,2016-06-03
5594173,9,1.21,2016-02-06
5595826,5,2,2016-02-12
5604858,7,3.65,2016-03-30
5607171,6,3.83,2016-02-29
5611627,5,2,2016-04-15
5616938,2,5,2016-08-30
5627039,5,2.25,2016-08-27
5633900,3,1.67,2016-07-23
5637216,25,8,2016-08-01
5639902,3,9.67,2016-05-19
5658866,4,5,2016-05-19
5659458,2,13.73,2016-08-12
5661405,13,15.38,2016-08-17
5698065,10,3.92,2016-07-28
5698411,2,17.8,2016-02-08
5698497,2,28.08,2016-04-04
5709051,3,16.67,2016-04-05
5710691,4,5.63,2016-08-08
5718549,11,7.73,2016-08-06
5727234,5,2.72,2016-02-19
5728183,2,2.5,2016-02-22
5746323,3,15,2016-04-15
5730151,8,4.12,2016-08-30
5780115,3,12.88,2016-06-17
5780828,2,5,2016-04-12
5787156,2,13.5,2016-04-30
5787662,4,130.97,2016-04-29
5789448,2,17,2016-05-05
5792860,3,8.33,2016-07-11
5793757,2,6,2016-05-26
5796247,2,13.5,2016-06-14
5799241,6,5.5,2016-08-01
5801865,2,3.5,2016-06-02
5806068,5,16.06,2016-08-05
5823052,2,17.5,2016-07-05
5844444,2,27.45,2016-08-19
5848592,4,1.56,2016-08-29
5850980,2,13.5,2016-09-03
5066792,8,8.75,2016-07-25
5124307,3,5.63,2016-07-21
5136594,2,3.57,2016-02-10
5229163,6,18.54,2016-07-12
5242148,3,25,2016-06-23
5258494,14,5.71,2016-08-14
5279377,19,14.62,2016-08-15
5280207,2,25,2016-07-04
5285353,6,37.5,2016-07-29
5304640,16,3.13,2016-08-31
5316773,2,74.95,2015-11-29
5334488,3,1.67,2016-05-06
5340073,14,4.01,2016-08-15
5376232,5,4.6,2016-05-27
5386529,2,5,2016-07-21
5400054,5,6,2016-07-21
5404955,2,57.5,2016-08-31
5413146,5,7.83,2016-08-17
5414409,2,15,2016-05-12
5418020,5,4.45,2016-07-19
5428243,5,7,2016-05-11
5438230,7,7.11,2016-06-25
5442655,5,44,2016-07-05
5448980,4,12.5,2016-06-13
5559216,3,20.28,2016-06-30
5752295,2,1,2016-03-11
5775425,2,6,2016-03-31
5778610,2,16.92,2016-04-26
5782588,4,9,2016-08-17
5789735,3,14.95,2016-07-28
5792129,6,16.35,2016-08-24
5793324,4,6.25,2016-07-25
5795923,2,17.5,2016-06-20
5804823,2,4,2016-08-09
5806033,2,35.5,2016-06-10
5807713,2,17.5,2016-06-18
5830658,2,17,2016-07-21
5840382,2,3.5,2016-08-09
5460848,6,7.5,2016-08-19
5462163,3,3.33,2016-06-10
5499439,2,22.23,2016-09-01
5505160,6,1.66,2016-05-07
5515623,2,5,2016-06-25
5519666,2,52.5,2016-04-11
5526893,4,2.5,2016-05-19
5529533,39,2.69,2016-08-29
5530944,9,0.56,2016-02-19
5573019,2,5,2016-06-03
5608728,4,2.5,2016-04-12
5616160,4,2.5,2016-08-18
5616451,7,12.14,2016-08-01
5621081,7,34.11,2016-07-26
5624173,3,8.33,2016-06-10
5656087,4,12.7,2016-05-31
5642168,3,9.67,2016-06-13
5660993,5,4.5,2016-07-25
5696229,3,16.67,2016-04-20
5696396,8,4.62,2016-08-06
5701345,3,8.33,2016-04-14
5702481,4,7.25,2016-05-13
5705769,3,5,2016-06-07
5708787,2,2.5,2016-05-17
5717640,2,2.5,2016-08-01
5724822,4,15,2016-07-29
5730515,2,5,2016-04-23
5732865,2,5,2016-08-13
5734551,5,2,2016-02-29
5739973,10,20,2016-08-22
5742897,2,7.5,2016-03-17
5748923,3,6.42,2016-08-03
5753131,2,3.5,2016-03-05
5754483,3,5.6,2016-07-19
5771655,2,1.25,2016-03-29
5772116,2,1.99,2016-05-26
5774672,5,10.05,2016-08-23
5774814,4,8.75,2016-06-30
5777869,2,58.94,2016-04-06
5778667,3,5.66,2016-04-08
5787451,7,5,2016-08-27
5787956,2,105.49,2016-08-29
5789111,3,4.33,2016-07-11
5792950,2,6.5,2016-07-20
5799580,2,3.5,2016-06-27
5801578,2,4,2016-05-31
5802392,3,4,2016-07-24
5819783,3,5.51,2016-08-28
5828292,3,1.67,2016-08-17
5037626,4,5,2016-07-25
5090467,3,38.67,2016-05-17
5128527,4,14.5,2016-06-03
5179629,12,3.75,2016-08-23
5184598,4,3.75,2016-06-20
5186935,2,12.5,2016-05-22
5208373,5,10,2016-06-13
5223347,4,1.25,2016-05-17
5233059,2,87.25,2016-03-18
5244445,2,52.5,2016-06-10
5259458,4,5,2016-08-18
5297698,12,10,2016-08-29
5297736,18,10.28,2016-08-25
5302004,9,3.89,2016-08-31
5318405,5,43.1,2016-08-31
5319423,15,33.67,2016-08-22
5326245,2,5.8,2016-08-31
5337265,4,4.66,2016-08-09
5342431,3,11.67,2016-08-28
5381437,3,8.84,2016-08-14
5384394,6,10,2016-04-19
5406358,16,7.81,2016-08-31
5410145,2,5.8,2016-05-10
5426039,4,31.41,2016-04-29
5444481,9,2.22,2016-04-23
5449910,3,3.33,2016-08-22
5452674,18,9.44,2016-08-23
5454008,4,12.5,2016-09-01
5745181,19,4.58,2016-08-29
5751469,2,7.5,2016-08-06
5769869,4,4.25,2016-07-20
5780283,2,7.09,2016-05-12
5788894,4,19.89,2016-07-17
5789533,3,35.64,2016-05-04
5795187,3,7.11,2016-06-29
5806590,3,1.99,2016-06-13
5817589,2,3.5,2016-06-30
5817787,2,12.5,2016-06-30
5842678,2,5.84,2016-08-15
5488331,7,10.71,2016-05-18
5462985,5,10.3,2016-07-29
5485065,3,10,2016-08-11
5491982,3,9.08,2016-03-31
5506785,3,5.55,2016-08-03
5510994,5,3.36,2016-08-06
5528649,2,5,2016-05-24
5531829,5,15,2016-07-09
5536638,29,3.85,2016-08-26
5541771,6,6.67,2016-06-21
5551816,3,16.67,2016-08-20
5556482,3,38.67,2016-05-24
5568826,15,10.92,2016-07-13
5575069,11,15.3,2016-05-27
5589298,19,14.21,2016-08-27
5590734,4,125,2016-08-23
5591783,4,6.25,2016-05-02
5593698,5,30,2016-07-25
5595799,3,11.67,2016-08-26
5631007,7,3.3,2016-08-31
5631549,3,7.5,2016-06-27
5664167,7,2.99,2016-08-31
5654671,6,14.13,2016-08-22
5692793,11,5.12,2016-08-16
5693133,7,22.12,2016-08-08
5696830,3,6.67,2016-05-22
5697227,3,8.05,2016-04-02
5699151,2,2.5,2016-02-25
5704017,6,8.68,2016-05-19
5712775,3,3.33,2016-02-25
5743375,2,5,2016-02-21
5738426,4,83.75,2016-08-25
5741514,3,19.33,2016-03-21
5741693,11,10.45,2016-09-02
5742817,2,2.5,2016-02-26
5748552,2,3.5,2016-03-28
5754609,3,2.33,2016-04-11
5768921,2,1.99,2016-03-21
5774522,5,6.4,2016-06-27
5778871,2,1.92,2016-04-15
5797029,6,9.6,2016-08-30
5796996,2,11.6,2016-08-20
5806099,4,46.75,2016-07-25
5815131,4,41.5,2016-09-02
5824785,3,6.19,2016-08-07
5829355,3,6.66,2016-08-23
5830110,2,5,2016-08-25
5831640,2,7.5,2016-08-29
5152176,2,5.8,2016-05-13
5195066,2,17.4,2016-06-26
5210591,3,6.67,2016-08-24
5214518,8,31.88,2016-08-29
5278442,5,25,2016-08-26
5289923,7,7.86,2016-08-21
5299936,4,13.63,2016-03-23
5320580,8,44.31,2016-08-27
5324983,62,10.55,2016-03-20
5325513,5,12,2016-07-13
5326806,34,30.88,2016-08-31
5326975,18,7.22,2016-08-09
5337924,2,8.67,2016-07-18
5348018,3,3.7,2016-07-05
5355026,2,2.85,2016-04-11
5360927,25,9,2016-08-11
5366746,6,12.5,2015-11-20
5383492,14,12.5,2016-08-25
5390678,12,2.67,2016-06-11
5400013,6,4.17,2016-08-26
5433525,11,11.72,2016-08-29
5436346,10,15,2016-08-22
5445996,6,9.17,2016-04-20
5447032,3,19.43,2016-09-01
5448455,3,1.67,2016-07-01
5453047,6,10,2016-08-28
5770296,2,27.5,2016-07-18
5780872,2,1.99,2016-08-06
5783321,5,6.66,2016-09-01
5793715,5,11.42,2016-06-16
5794396,2,6.5,2016-06-13
5798775,3,3.99,2016-06-11
5799062,2,4.85,2016-06-20
5839864,2,6,2016-08-08
5841403,3,-16.67,2016-08-16
5459199,4,2.5,2016-08-21
5470032,2,20.2,2016-08-06
5505884,6,4.75,2016-08-28
5509624,4,12.5,2016-07-23
5512370,3,8.33,2016-08-31
5523405,5,12,2016-03-28
5543904,6,12.5,2016-07-19
5557898,7,15.42,2016-06-24
5575317,2,14.5,2016-06-19
5576912,4,50,2016-08-06
5584865,3,3.33,2016-04-25
5591219,8,6.25,2016-06-02
5624293,12,1.67,2016-03-12
5632784,7,49.2,2016-08-25
5638024,7,6.43,2016-06-26
5665438,4,2.5,2016-02-12
5655681,4,9.47,2016-07-15
5656193,5,6.72,2016-08-05
5826362,3,5.33,2016-07-11
5664182,6,5.83,2016-09-03
5701360,4,21.31,2016-05-19
5704615,5,4.46,2016-08-12
5718403,15,4,2016-07-26
5720494,3,3.33,2016-04-07
5727663,5,4.5,2016-08-19
5734370,5,13,2016-05-02
5738535,2,8.18,2016-02-07
5740388,3,6.01,2016-02-11
5745503,3,7.27,2016-03-28
5745883,3,13.33,2016-06-14
5768358,5,5.66,2016-07-17
5781447,2,4,2016-04-24
5784402,2,5.5,2016-06-08
5784177,3,4,2016-08-19
5787504,3,10.62,2016-06-28
5788722,11,5.32,2016-09-01
5795514,3,6.83,2016-08-17
5804917,2,24.75,2016-06-08
5804924,2,3.5,2016-06-08
5822906,2,6.82,2016-08-09
5826096,4,14.17,2016-07-13
5826182,2,6.51,2016-07-11
5827349,2,3.5,2016-08-13
5830440,2,3.5,2016-08-24
5837569,3,13.33,2016-08-15
5838111,3,3.85,2016-08-04
5847161,2,4,2016-08-31
5848566,4,3,2016-08-29
5035177,2,14.25,2016-04-19
5165212,5,27,2016-08-08
5178484,6,16.67,2016-08-21
5222577,3,45,2016-07-04
5225028,2,5,2016-07-09
5245629,6,4.62,2016-07-03
5255858,39,2.82,2016-08-26
5255966,5,6,2016-03-08
5277846,7,35.71,2016-07-29
5284753,7,12.15,2016-08-26
5291577,27,15.74,2016-08-09
5330938,3,1.67,2016-04-20
5349941,4,18.75,2016-08-31
5358129,3,16.1,2016-05-20
5383153,6,12.5,2016-06-23
5388098,5,4,2016-09-01
5428377,2,12.5,2016-08-22
5453554,3,3.33,2016-03-08
5599993,4,1.25,2016-04-19
5743557,3,4,2016-02-17
5743694,4,6.87,2016-08-07
5759460,2,13.5,2016-03-18
5783541,4,7.75,2016-07-11
5816912,3,15.67,2016-06-24
5824449,9,6.17,2016-08-31
5830192,2,3.5,2016-08-30
5470460,9,6.11,2016-08-14
5473755,3,13.33,2016-03-01
5485181,6,12.47,2016-06-22
5497785,4,14.38,2016-05-21
5498064,4,57.13,2016-08-09
5510009,6,16.67,2016-07-17
5522358,10,6,2016-08-12
5530009,22,6.84,2016-07-18
5531643,20,615.66,2016-08-30
5537253,13,7.3,2016-05-31
5537663,3,1.67,2016-03-01
5549356,6,5.83,2016-09-03
5560799,2,14.25,2016-04-23
5561034,4,12.7,2016-05-26
5577522,13,3.08,2016-08-31
5589970,5,6.82,2016-08-24
5603056,5,22,2016-05-23
5613779,5,6,2016-06-01
5615353,13,8.84,2016-06-27
5615519,6,5.83,2016-08-26
5627930,3,3.33,2016-08-14
5692833,10,4.5,2016-08-14
5663949,51,15.9,2016-08-21
5668590,5,20,2016-05-13
5696518,3,9.5,2016-04-08
5698258,3,9.08,2016-02-08
5705839,4,5,2016-08-23
5708886,5,10,2016-04-19
5711985,4,3.75,2016-04-16
5725193,3,66.25,2016-05-10
5728130,5,3,2016-08-29
5742206,3,6.84,2016-08-14
5745234,2,37.5,2016-08-19
5744371,3,12.1,2016-08-27
5745511,6,5.42,2016-02-19
5752236,3,5,2016-07-20
5753199,2,2.99,2016-08-08
5761900,3,3.98,2016-03-21
5781304,3,4,2016-07-07
5784377,3,7.08,2016-06-23
5788709,3,27.33,2016-05-08
5790317,2,1,2016-05-05
5790959,2,5.79,2016-05-08
5793830,2,29,2016-05-13
5795009,5,5.33,2016-08-02
5795808,2,4.78,2016-05-19
5800136,2,1.5,2016-06-19
5800942,2,6.77,2016-06-01
5801204,2,7.5,2016-05-30
5828430,5,3.33,2016-08-23
5831521,3,12.33,2016-08-27
5832239,2,1,2016-08-27
5067988,2,15,2016-04-25
5111617,6,12.5,2016-07-12
5189878,12,9.48,2016-07-30
5198782,3,66.67,2016-06-29
5209076,5,24.53,2016-08-08
5225147,12,4.83,2016-07-28
5255884,15,13.1,2016-08-08
5284055,8,12.74,2016-08-16
5284254,2,5,2016-07-19
5303904,4,56.25,2016-05-11
5307691,21,8.57,2016-08-12
5310734,3,19.33,2016-05-08
5336567,4,2.84,2016-08-25
5344824,4,1.25,2016-07-28
5314522,2,57,2016-04-23
5355545,4,12.5,2016-06-25
5392065,2,2.73,2016-03-03
5439975,2,5,2016-04-04
5443476,7,4.8,2016-07-07
5451569,4,68.75,2016-08-20
5454992,4,5,2016-06-11
5456277,33,2.55,2016-08-29
5745402,7,8.28,2016-08-26
5768717,6,10,2016-07-20
5784150,3,3.87,2016-04-25
5827615,2,6.27,2016-08-14
5830035,3,4,2016-08-10
5836938,2,5.97,2016-08-20
5837167,2,15,2016-08-04
5837498,2,27.5,2016-08-05
5456774,5,12,2016-08-18
5469850,2,5,2016-08-23
5468934,2,14.5,2016-05-08
5495158,2,10,2016-06-26
5498511,5,8.93,2016-06-14
5508586,16,7.38,2016-08-11
5519037,4,13.75,2016-07-17
5525369,2,20,2016-08-20
5528030,2,5.8,2016-05-09
5529628,5,5,2016-06-15
5545929,27,8.15,2016-08-24
5573039,5,4.4,2016-03-07
5573060,6,8.33,2016-07-28
5593553,3,9.99,2016-08-29
5608414,9,9.44,2016-08-08
5607979,17,6.18,2016-07-08
5612331,5,1.09,2016-04-01
5612776,3,16.67,2016-04-19
5619589,33,3.18,2016-05-25
5617623,4,1.25,2016-08-11
5624568,6,2.5,2016-08-09
5626866,3,8.33,2016-08-29
5635634,6,5.8,2016-05-10
5655479,3,8.33,2016-05-11
5664753,3,11.67,2016-05-09
5680155,5,3,2016-04-20
5694905,2,13.88,2016-08-21
5709461,2,50,2016-08-09
5723909,9,0.88,2016-02-25
5727543,6,4.58,2016-04-21
5737748,2,4,2016-02-08
5736925,2,12.5,2016-07-05
5737310,3,157.67,2016-02-12
5741429,3,5.31,2016-05-12
5741410,5,9,2016-05-01
5742989,8,6.62,2016-07-28
5768604,3,6,2016-05-25
5771054,3,33.33,2016-08-15
5784240,2,2.5,2016-04-28
5789059,3,3.66,2016-06-08
5790668,2,26.39,2016-06-09
5801906,2,35.7,2016-06-01
5806074,5,8.57,2016-08-14
5804454,2,4,2016-06-07
5816502,3,5.66,2016-08-21
5817510,3,13.33,2016-07-27
5820095,6,16.71,2016-09-01
5821081,2,6.82,2016-07-06
5832617,4,5,2016-08-26
5833927,2,7.42,2016-08-20
5837433,4,2.74,2016-08-16
5837732,2,3.5,2016-08-28
5840649,2,2.51,2016-08-09
5847429,2,6.27,2016-08-22
5848325,2,13.5,2016-08-24
5849842,3,4,2016-08-29
5850974,2,3.5,2016-08-29
5011780,4,1.25,2016-08-29
5156116,4,17.5,2016-07-19
5199461,6,4.17,2016-04-18
5201111,2,9.34,2016-07-19
5202377,4,14.06,2016-08-14
5205616,4,5,2016-06-28
5206199,2,2.5,2016-06-12
5224440,2,14.5,2016-06-15
5230967,3,6.67,2016-08-12
5249048,6,10.19,2016-08-08
5258957,8,75,2016-05-12
5273491,3,9.82,2016-07-12
5278004,5,5,2016-08-05
5308446,8,4.28,2016-08-24
5320427,16,410.78,2016-07-04
5364287,8,15.39,2016-08-14
5370854,4,25,2016-04-29
5376775,16,11.56,2016-08-12
5388779,10,7.5,2016-07-17
5389294,3,36.67,2016-08-06
5389678,2,5,2016-02-23
5390785,14,2.01,2016-07-04
5410038,5,12,2016-07-06
5428309,3,16.67,2016-05-07
5430469,3,5,2016-06-10
5432584,29,2.1,2016-04-23
5437758,3,22.1,2016-04-08
5454943,4,5.6,2016-04-26
5456336,9,4.97,2016-08-26
5768866,7,7.43,2016-08-03
5786570,4,2.39,2016-04-29
5795391,2,17,2016-05-17
5807823,2,1.99,2016-06-15
5818128,4,13.09,2016-08-29
5821929,2,4.05,2016-07-03
5822337,2,21.21,2016-07-22
5825617,3,3.48,2016-08-22
5836211,3,6.67,2016-08-25
5464291,4,19.81,2016-02-06
5456699,5,2,2016-06-02
5471694,9,31.44,2016-07-27
5494075,106,8.21,2016-09-03
5495731,2,10,2016-04-02
5498235,3,4.4,2016-03-08
5507769,2,17.23,2016-05-05
5516773,4,25,2016-02-24
5519663,9,7.33,2016-08-03
5532513,3,1.82,2016-03-04
5556307,2,2.5,2016-04-14
5562385,7,1.43,2016-04-21
5564700,2,12.5,2016-08-31
5588373,5,90,2016-07-20
5591569,2,12.5,2016-08-18
5596222,2,27.25,2016-08-07
5597443,8,2.5,2015-12-13
5606153,4,2.5,2016-08-20
5613515,4,35.38,2016-08-19
5614786,19,7.42,2016-08-16
5643437,6,10,2016-07-11
5653520,2,10,2016-02-12
5696458,6,6.39,2016-08-03
5698482,3,3.33,2016-08-05
5703299,5,15,2016-07-28
5710467,7,4.29,2016-08-02
5715480,3,10.9,2016-03-14
5744461,6,5.24,2016-08-06
5749552,2,1,2016-03-03
5751426,3,4.33,2016-04-07
5751993,2,3.5,2016-03-12
5752727,3,3.33,2016-03-21
5772993,3,10,2016-03-25
5776547,2,1,2016-04-05
5794812,3,4,2016-05-25
5822732,2,4.78,2016-07-04
5804400,2,3.89,2016-08-23
5804604,2,7.16,2016-06-20
5815298,3,10,2016-08-18
5821158,2,13.5,2016-07-02
5824630,3,6.67,2016-09-01
5829512,2,13.61,2016-07-19
5831310,2,6.5,2016-08-04
5832576,20,5.78,2016-09-01
5845204,3,3.09,2016-08-25
5846973,2,1.9,2016-08-22
5036164,17,2.95,2016-08-26
5039401,5,16.9,2016-08-18
5054293,33,5.11,2016-08-23
5097985,3,12.78,2016-08-03
5106663,5,10,2016-08-21
5117043,8,12.5,2016-08-18
5125140,3,19.33,2016-05-30
5197612,3,18.75,2016-06-03
5218347,8,7.49,2016-03-17
5274467,2,14.5,2016-06-29
5298425,4,2.73,2016-03-11
5299889,12,6.05,2016-03-09
5300399,2,27.25,2016-08-20
5302333,7,16.07,2016-07-01
5316267,3,11.67,2016-06-28
5327650,8,28.13,2016-08-08
5327688,2,2.5,2016-06-04
5337621,10,4,2016-07-25
5342256,7,15.71,2016-04-12
5353346,9,33.33,2016-08-19
5353447,4,1.25,2016-03-19
5376848,2,2.5,2016-07-14
5421218,2,10,2016-08-23
5426258,2,11.25,2016-06-23
5438666,10,4.48,2016-09-03
5444861,3,18.33,2016-08-11
5448387,23,5.87,2016-08-05
5455976,6,9.17,2016-07-04
5524174,15,37.2,2016-09-01
5583600,17,2.35,2016-08-21
5644000,3,8.33,2016-07-01
5759466,3,10,2016-03-14
5772623,6,7.01,2016-09-02
5785586,3,1.9,2016-05-04
5789476,2,116,2016-08-20
5800531,2,7.18,2016-08-29
5803590,3,4,2016-08-24
5804404,3,23.03,2016-06-12
5806765,3,3.33,2016-06-13
5842261,2,1.5,2016-08-12
5498669,4,5,2016-08-12
5513084,4,12.56,2016-08-07
5526764,2,5.45,2016-02-19
5517042,2,10,2016-05-27
5518978,3,8.33,2016-08-24
5519819,2,12.5,2016-03-13
5529776,11,4.86,2016-08-01
5531078,4,21.06,2016-05-03
5531495,2,15,2016-08-27
5532561,6,2.81,2016-04-22
5534568,2,12.5,2016-08-07
5550709,2,29,2016-05-25
5557251,8,9.83,2016-08-30
5588081,2,4.64,2016-07-13
5593114,3,1.66,2016-08-31
5597638,4,3.75,2016-07-11
5605338,3,8.33,2016-07-07
5605173,4,3.75,2016-07-25
5612750,3,8.33,2016-03-20
5613913,4,7.5,2016-07-01
5613997,13,4.23,2016-05-19
5614718,13,5.28,2016-02-25
5617597,3,1.85,2016-07-18
5625972,4,2.5,2016-08-31
5630026,4,4.99,2016-08-04
5631936,5,6,2016-07-11
5635105,3,3.33,2016-08-17
5651906,3,8.33,2016-05-01
5661779,2,12.5,2016-04-28
5663885,8,4.87,2016-08-28
5674235,66,4.14,2016-08-29
5694256,4,4.23,2016-08-01
5701292,4,2.75,2016-08-05
5714600,5,4.47,2016-07-27
5722675,3,3.63,2016-03-12
5725711,3,16.67,2016-08-16
5727699,5,20,2016-06-30
5737698,2,42.63,2016-05-17
5739480,2,33.05,2016-07-16
