id,room,start date,end date,request id
64,L1,1/1/16,1/4/16,32
65,L12,3/13/16,3/16/16,33
66,X20,2/27/16,2/29/16,34
67,X33,2/27/16,2/29/16,34
68,D5,2/12/16,2/15/16,35
69,D12,2/12/16,2/15/16,35
70,N0,3/2/16,3/10/16,37
71,N1,3/2/16,3/10/16,37
72,N2,3/2/16,3/10/16,37
73,N3,3/2/16,3/10/16,37
74,N4,3/2/16,3/10/16,37
75,N5,3/2/16,3/10/16,37
76,D0,3/8/16,3/9/16,38
77,D0,2/21/16,2/27/16,39
78,N10,3/3/16,3/7/16,40
79,N29,3/3/16,3/7/16,40
80,X0,3/2/16,3/10/16,42
81,D7,2/11/16,2/14/16,43
82,L0,3/12/16,3/16/16,44
83,N6,3/4/16,3/9/16,45
84,N7,3/4/16,3/9/16,45
85,S0,3/4/16,3/6/16,46
86,S1,3/4/16,3/6/16,46
87,S2,3/4/16,3/6/16,46
88,S3,3/4/16,3/6/16,46
89,S4,3/4/16,3/6/16,46
90,S5,3/4/16,3/6/16,46
91,D0,3/20/16,3/29/16,47
92,D1,3/20/16,3/29/16,47
93,N4,1/29/16,2/1/16,48
94,L8,1/11/16,1/12/16,49
95,L12,1/11/16,1/12/16,49
96,D0,1/19/16,1/22/16,50
97,D1,1/19/16,1/22/16,50
98,D0,2/29/16,3/8/16,51
99,D0,1/22/16,1/27/16,52
100,S0,1/12/16,1/16/16,53
101,S1,1/12/16,1/16/16,53
102,S2,1/12/16,1/16/16,53
103,S3,1/12/16,1/16/16,53
104,D1,2/26/16,3/8/16,54
105,D2,3/4/16,3/14/16,55
106,D3,3/4/16,3/14/16,55
107,N4,1/24/16,1/31/16,56
108,N5,1/24/16,1/31/16,56
109,X0,2/28/16,3/3/16,57
110,N0,1/4/16,1/6/16,58
111,N1,1/4/16,1/6/16,58
112,N2,1/4/16,1/6/16,58
113,N3,1/4/16,1/6/16,58
114,X1,1/16/16,1/25/16,59
115,L1,1/3/16,1/5/16,60
116,L1,3/28/16,4/6/16,61
117,L2,3/28/16,4/6/16,61
118,N0,2/17/16,2/20/16,62
119,N1,2/17/16,2/20/16,62
120,L29,3/8/16,3/9/16,63
121,L30,3/8/16,3/9/16,63
122,X0,2/8/16,2/10/16,64
123,D0,3/30/16,4/6/16,65
124,N25,2/20/16,2/23/16,66
125,N26,2/20/16,2/23/16,66
126,N27,2/20/16,2/23/16,66
127,N46,2/20/16,2/23/16,66
128,L0,2/26/16,3/3/16,67
129,L1,3/27/16,3/29/16,68
130,D0,1/4/16,1/8/16,69
131,S0,1/1/16,1/3/16,70
132,S1,1/1/16,1/3/16,70
133,S2,1/1/16,1/3/16,70
134,D0,1/12/16,1/14/16,71
135,D2,1/12/16,1/14/16,71
136,D3,1/12/16,1/14/16,71
137,N10,2/1/16,2/6/16,72
138,N11,2/1/16,2/6/16,72
139,N12,2/1/16,2/6/16,72
140,N13,2/1/16,2/6/16,72
141,L5,1/14/16,1/15/16,73
142,N11,2/20/16,2/25/16,74
143,N18,2/20/16,2/25/16,74
144,N19,2/20/16,2/25/16,74
145,N24,2/20/16,2/25/16,74
146,S0,3/18/16,3/20/16,75
147,S1,3/18/16,3/20/16,75
148,X14,3/4/16,3/7/16,76
149,X0,1/18/16,1/22/16,77
150,S0,2/14/16,2/26/16,78
151,S1,2/14/16,2/26/16,78
152,S2,2/14/16,2/26/16,78
153,D2,2/3/16,2/5/16,79
154,L1,3/20/16,3/23/16,80
155,L8,3/20/16,3/23/16,80
156,X0,1/11/16,1/17/16,81
157,X1,1/11/16,1/17/16,81
158,X0,2/17/16,2/18/16,82
159,N0,2/22/16,3/4/16,83
160,N1,2/22/16,3/4/16,83
161,N2,2/22/16,3/4/16,83
162,N3,2/22/16,3/4/16,83
163,N4,2/22/16,3/4/16,83
164,L1,3/19/16,3/20/16,84
165,L0,2/15/16,2/21/16,85
166,D2,2/1/16,2/3/16,86
167,S0,1/16/16,1/18/16,87
168,S1,1/16/16,1/18/16,87
169,S2,1/16/16,1/18/16,87
170,S8,1/16/16,1/18/16,87
171,D2,3/23/16,3/26/16,88
172,D3,3/23/16,3/26/16,88
173,N5,2/27/16,3/5/16,89
174,N6,2/27/16,3/5/16,89
175,N7,2/27/16,3/5/16,89
176,N8,2/27/16,3/5/16,89
177,N9,2/27/16,3/5/16,89
178,S0,1/23/16,1/27/16,90
179,S1,1/23/16,1/27/16,90
180,S2,1/23/16,1/27/16,90
181,S3,1/23/16,1/27/16,90
182,X1,2/4/16,2/20/16,91
183,L1,2/28/16,3/3/16,92
184,X2,1/13/16,1/25/16,93
185,X3,1/13/16,1/25/16,93
186,N0,2/20/16,2/22/16,94
187,N1,2/20/16,2/22/16,94
188,S0,2/3/16,2/7/16,95
189,S1,2/3/16,2/7/16,95
190,S7,2/3/16,2/7/16,95
191,D0,2/8/16,2/11/16,96
192,D3,3/26/16,3/30/16,97
193,N0,2/13/16,2/16/16,98
194,X36,2/2/16,2/4/16,99
195,X37,2/2/16,2/4/16,99
196,X48,2/2/16,2/4/16,99
197,D1,2/4/16,2/14/16,100
198,N25,2/23/16,2/25/16,101
199,N26,2/23/16,2/25/16,101
200,N27,2/23/16,2/25/16,101
201,N1,2/15/16,2/17/16,102
202,N2,2/15/16,2/17/16,102
203,N3,2/15/16,2/17/16,102
204,D2,2/13/16,2/17/16,103
205,D3,2/13/16,2/17/16,103
206,S0,3/28/16,4/2/16,104
207,S1,3/28/16,4/2/16,104
208,S2,3/28/16,4/2/16,104
209,S0,2/7/16,2/9/16,105
210,S1,2/7/16,2/9/16,105
211,S2,2/7/16,2/9/16,105
212,S3,2/25/16,2/27/16,106
213,S4,2/25/16,2/27/16,106
214,L2,2/8/16,2/14/16,107
215,X1,3/8/16,3/12/16,108
216,X5,1/13/16,1/19/16,109
217,X10,1/13/16,1/19/16,109
218,N15,3/8/16,3/16/16,110
219,S0,3/15/16,3/18/16,111
220,S1,3/15/16,3/18/16,111
221,S2,3/15/16,3/18/16,111
222,D0,1/31/16,2/3/16,112
223,S41,2/1/16,2/6/16,114
224,S42,2/1/16,2/6/16,114
225,S43,2/1/16,2/6/16,114
226,L0,1/25/16,1/31/16,115
227,N2,2/16/16,2/19/16,116
228,N3,2/16/16,2/19/16,116
229,N3,3/16/16,3/22/16,117
230,N4,3/16/16,3/22/16,117
231,N5,3/16/16,3/22/16,117
232,N6,3/16/16,3/22/16,117
233,N7,3/16/16,3/22/16,117
234,N8,3/16/16,3/22/16,117
235,S4,3/13/16,3/17/16,119
236,S5,3/13/16,3/17/16,119
237,S6,3/13/16,3/17/16,119
238,S7,1/6/16,1/13/16,120
239,S8,1/6/16,1/13/16,120
240,S9,1/6/16,1/13/16,120
241,L0,1/22/16,1/27/16,121
242,N2,1/6/16,1/8/16,122
243,N3,1/6/16,1/8/16,122
244,N11,1/6/16,1/8/16,122
245,N13,1/6/16,1/8/16,122
246,X0,3/29/16,4/6/16,123
247,X0,2/15/16,2/16/16,124
248,S14,3/10/16,3/15/16,127
249,S15,3/10/16,3/15/16,127
250,S16,3/10/16,3/15/16,127
251,X2,1/10/16,1/13/16,128
252,L2,3/14/16,3/18/16,129
253,N5,2/22/16,2/28/16,130
254,N6,2/22/16,2/28/16,130
255,N7,2/22/16,2/28/16,130
256,D1,3/29/16,4/4/16,131
257,D2,3/29/16,4/4/16,131
258,D3,3/29/16,4/4/16,131
259,N0,2/7/16,2/9/16,132
260,N1,2/7/16,2/9/16,132
261,N2,2/7/16,2/9/16,132
262,N3,2/7/16,2/9/16,132
263,X6,2/4/16,2/7/16,134
264,X7,2/4/16,2/7/16,134
265,X2,2/5/16,2/10/16,135
266,X3,1/12/16,1/14/16,136
267,X4,1/12/16,1/14/16,136
268,X6,1/12/16,1/14/16,136
269,X8,1/7/16,1/8/16,137
270,X42,1/7/16,1/8/16,137
271,D2,2/22/16,2/23/16,138
272,D26,2/22/16,2/23/16,138
273,S3,2/8/16,2/9/16,139
274,S4,2/8/16,2/9/16,139
275,S5,2/8/16,2/9/16,139
276,S6,2/8/16,2/9/16,139
277,D4,3/6/16,3/10/16,140
278,D5,3/6/16,3/10/16,140
279,L1,2/16/16,2/19/16,141
280,L3,3/23/16,3/30/16,143
281,D1,2/18/16,3/1/16,144
282,N3,3/23/16,3/27/16,145
283,N4,3/23/16,3/27/16,145
284,N5,3/23/16,3/27/16,145
285,S5,2/6/16,2/8/16,146
286,S6,2/6/16,2/8/16,146
287,S41,2/6/16,2/8/16,146
288,S42,2/6/16,2/8/16,146
289,S52,2/6/16,2/8/16,146
290,S23,3/21/16,3/23/16,147
291,S40,3/21/16,3/23/16,147
292,S44,3/21/16,3/23/16,147
293,S59,3/21/16,3/23/16,147
294,S4,1/12/16,1/26/16,148
295,S5,1/12/16,1/26/16,148
296,S6,1/12/16,1/26/16,148
297,L12,3/28/16,3/30/16,149
298,L15,3/28/16,3/30/16,149
299,S10,1/12/16,1/16/16,150
300,S11,1/12/16,1/16/16,150
301,S12,1/12/16,1/16/16,150
302,S13,1/12/16,1/16/16,150
303,D2,3/28/16,3/30/16,151
304,L3,2/8/16,2/9/16,152
305,L4,2/8/16,2/9/16,152
306,S11,2/12/16,2/16/16,153
307,S16,2/12/16,2/16/16,153
308,S17,2/12/16,2/16/16,153
309,S18,2/12/16,2/16/16,153
310,S19,2/12/16,2/16/16,153
311,S0,1/9/16,1/11/16,154
312,S1,1/9/16,1/11/16,154
313,S2,1/9/16,1/11/16,154
314,N10,2/27/16,3/3/16,155
315,N8,3/5/16,3/7/16,156
316,N9,3/5/16,3/7/16,156
317,N11,3/5/16,3/7/16,156
318,N12,3/5/16,3/7/16,156
319,D2,2/26/16,3/2/16,157
320,N4,1/4/16,1/8/16,158
321,N5,1/4/16,1/8/16,158
322,N6,1/4/16,1/8/16,158
323,N7,1/4/16,1/8/16,158
324,N8,1/4/16,1/8/16,158
325,D4,3/25/16,3/27/16,159
326,D5,3/25/16,3/27/16,159
327,L1,1/23/16,1/24/16,160
328,N0,3/26/16,4/1/16,161
329,N1,3/26/16,4/1/16,161
330,N2,3/26/16,4/1/16,161
331,N3,3/26/16,4/1/16,161
332,N4,3/26/16,4/1/16,161
333,N6,1/26/16,1/29/16,162
334,N7,1/26/16,1/29/16,162
335,N8,1/26/16,1/29/16,162
336,N9,1/26/16,1/29/16,162
337,N10,1/26/16,1/29/16,162
338,N11,1/26/16,1/29/16,162
339,N12,1/26/16,1/29/16,162
340,N13,1/26/16,1/29/16,162
341,N14,1/26/16,1/29/16,162
342,N15,1/26/16,1/29/16,162
343,D0,1/27/16,1/30/16,163
344,L0,3/5/16,3/11/16,164
345,N0,3/10/16,3/13/16,165
346,N1,3/10/16,3/13/16,165
347,N2,3/10/16,3/13/16,165
348,N3,3/10/16,3/13/16,165
349,S3,2/16/16,2/18/16,166
350,S4,2/16/16,2/18/16,166
351,S5,2/16/16,2/18/16,166
352,S6,2/16/16,2/18/16,166
353,X4,1/23/16,1/31/16,167
354,S14,1/9/16,1/16/16,168
355,S15,1/9/16,1/16/16,168
356,S16,1/9/16,1/16/16,168
357,S17,1/9/16,1/16/16,168
358,X7,3/1/16,3/5/16,169
359,S3,1/2/16,1/4/16,171
360,S4,1/2/16,1/4/16,171
361,S23,1/2/16,1/4/16,171
362,S24,1/2/16,1/4/16,171
363,S25,1/2/16,1/4/16,171
364,L1,1/26/16,1/31/16,172
365,L3,1/26/16,1/31/16,172
366,X8,2/29/16,3/7/16,174
367,X10,2/29/16,3/7/16,174
368,L5,2/7/16,2/14/16,175
369,N11,3/1/16,3/5/16,176
370,N12,3/1/16,3/5/16,176
371,N13,3/1/16,3/5/16,176
372,N14,3/1/16,3/5/16,176
373,L5,1/16/16,1/17/16,177
374,L9,1/16/16,1/17/16,177
375,N6,3/23/16,3/27/16,178
376,N7,3/23/16,3/27/16,178
377,N8,3/23/16,3/27/16,178
378,D1,1/28/16,1/29/16,179
379,D2,1/28/16,1/29/16,179
380,N9,1/19/16,1/20/16,180
381,N21,1/19/16,1/20/16,180
382,N25,1/19/16,1/20/16,180
383,N26,1/19/16,1/20/16,180
384,X5,2/20/16,2/21/16,181
385,S13,2/3/16,2/4/16,182
386,S14,2/3/16,2/4/16,182
387,S15,2/3/16,2/4/16,182
388,S16,2/3/16,2/4/16,182
389,D3,1/14/16,1/18/16,183
390,D5,1/14/16,1/18/16,183
391,N11,1/13/16,1/15/16,184
392,N13,1/13/16,1/15/16,184
393,N14,1/13/16,1/15/16,184
394,X5,1/22/16,1/31/16,185
395,L3,3/29/16,4/5/16,186
396,D3,2/2/16,2/5/16,188
397,X6,1/17/16,1/25/16,189
398,D6,3/24/16,3/26/16,190
399,D2,2/24/16,2/25/16,191
400,S2,3/12/16,3/16/16,192
401,S3,3/12/16,3/16/16,192
402,S4,3/12/16,3/16/16,192
403,X0,2/10/16,2/12/16,193
404,N5,3/30/16,4/8/16,194
405,N6,3/30/16,4/8/16,194
406,X11,1/18/16,1/19/16,195
407,X3,2/3/16,2/6/16,196
408,X10,2/3/16,2/6/16,196
409,S7,1/20/16,1/24/16,197
410,S8,1/20/16,1/24/16,197
411,D4,3/28/16,4/4/16,198
412,D5,3/28/16,4/4/16,198
413,D6,3/5/16,3/7/16,199
414,D7,3/5/16,3/7/16,199
415,N5,1/11/16,1/17/16,201
416,N6,1/11/16,1/17/16,201
417,N7,1/11/16,1/17/16,201
418,N8,1/11/16,1/17/16,201
419,N9,1/11/16,1/17/16,201
420,N10,1/11/16,1/17/16,201
421,L2,2/17/16,2/24/16,202
422,L1,3/7/16,3/19/16,203
423,N15,1/13/16,1/16/16,204
424,N16,1/13/16,1/16/16,204
425,N19,1/13/16,1/16/16,204
426,N20,1/13/16,1/16/16,204
427,D4,2/26/16,3/3/16,205
428,D5,2/26/16,3/3/16,205
429,S3,2/19/16,2/25/16,206
430,S4,2/19/16,2/25/16,206
431,S27,2/19/16,2/25/16,206
432,S28,2/19/16,2/25/16,206
433,S29,2/19/16,2/25/16,206
434,N8,3/6/16,3/10/16,207
435,N9,3/6/16,3/10/16,207
436,N10,3/6/16,3/10/16,207
437,N11,3/6/16,3/10/16,207
438,S0,3/7/16,3/11/16,208
439,S1,3/7/16,3/11/16,208
440,S2,3/7/16,3/11/16,208
441,S0,1/24/16,1/29/16,209
442,S1,1/24/16,1/29/16,209
443,S15,1/24/16,1/29/16,209
444,X7,1/18/16,1/30/16,210
445,N0,3/25/16,3/27/16,211
446,N1,3/25/16,3/27/16,211
447,N2,3/25/16,3/27/16,211
448,N12,3/25/16,3/27/16,211
449,N16,3/25/16,3/27/16,211
450,N50,3/25/16,3/27/16,211
451,N51,3/25/16,3/27/16,211
452,S9,1/13/16,1/28/16,212
453,S10,1/13/16,1/28/16,212
454,S11,1/13/16,1/28/16,212
455,S12,1/13/16,1/28/16,212
456,D8,3/13/16,3/16/16,213
457,L4,3/30/16,4/2/16,214
458,L1,2/24/16,2/28/16,215
459,X8,2/2/16,2/7/16,216
460,N16,1/24/16,1/29/16,217
461,N17,1/24/16,1/29/16,217
462,N18,1/24/16,1/29/16,217
463,N21,1/24/16,1/29/16,217
464,N22,1/24/16,1/29/16,217
465,N4,2/16/16,2/22/16,218
466,N5,2/16/16,2/22/16,218
467,N6,2/16/16,2/22/16,218
468,N7,2/16/16,2/22/16,218
469,N8,2/16/16,2/22/16,218
470,N15,3/13/16,3/17/16,219
471,N17,3/13/16,3/17/16,219
472,N18,3/13/16,3/17/16,219
473,N19,3/13/16,3/17/16,219
474,S5,2/21/16,2/26/16,220
475,S6,2/21/16,2/26/16,220
476,S7,2/21/16,2/26/16,220
477,S8,2/21/16,2/26/16,220
478,S62,1/5/16,1/7/16,221
479,S63,1/5/16,1/7/16,221
480,S73,1/5/16,1/7/16,221
481,S74,1/5/16,1/7/16,221
482,S14,3/27/16,3/29/16,222
483,S15,3/27/16,3/29/16,222
484,S16,3/27/16,3/29/16,222
485,S17,3/27/16,3/29/16,222
486,N9,1/4/16,1/6/16,223
487,N10,1/4/16,1/6/16,223
488,X11,3/1/16,3/7/16,224
489,X7,1/11/16,1/19/16,225
490,X8,1/11/16,1/19/16,225
491,L3,2/17/16,2/19/16,227
492,L4,2/17/16,2/19/16,227
493,N16,1/5/16,1/7/16,228
494,N30,1/5/16,1/7/16,228
495,N0,1/25/16,1/28/16,229
496,N1,1/25/16,1/28/16,229
497,S13,1/16/16,1/17/16,230
498,S14,1/16/16,1/17/16,230
499,S15,1/16/16,1/17/16,230
500,S16,1/16/16,1/17/16,230
501,X2,1/26/16,2/6/16,231
502,X9,2/2/16,2/5/16,232
503,X12,2/2/16,2/5/16,232
504,D2,1/5/16,1/10/16,233
505,L1,2/20/16,2/24/16,234
506,X13,3/20/16,3/22/16,235
507,S39,3/24/16,3/27/16,236
508,S40,3/24/16,3/27/16,236
509,S41,3/24/16,3/27/16,236
510,X3,2/9/16,2/16/16,237
511,D1,2/3/16,2/4/16,238
512,D6,2/3/16,2/4/16,238
513,N12,2/26/16,3/1/16,239
514,N13,2/26/16,3/1/16,239
515,N14,2/26/16,3/1/16,239
516,D6,3/7/16,3/12/16,240
517,D7,3/7/16,3/12/16,240
518,D8,3/7/16,3/12/16,240
519,S3,3/6/16,3/12/16,241
520,S4,3/6/16,3/12/16,241
521,S5,3/6/16,3/12/16,241
522,S6,3/6/16,3/12/16,241
523,S95,3/24/16,3/27/16,242
524,S96,3/24/16,3/27/16,242
525,N12,3/7/16,3/17/16,243
526,N13,3/7/16,3/17/16,243
527,N14,3/7/16,3/17/16,243
528,S0,3/22/16,3/26/16,244
529,S1,3/22/16,3/26/16,244
530,S2,3/22/16,3/26/16,244
531,D6,2/26/16,3/4/16,245
532,D0,1/30/16,1/31/16,246
533,N9,3/14/16,3/24/16,247
534,N10,3/14/16,3/24/16,247
535,N11,3/14/16,3/24/16,247
536,N12,3/14/16,3/24/16,247
537,L0,1/30/16,2/6/16,248
538,N7,1/21/16,1/22/16,251
539,N8,1/21/16,1/22/16,251
540,N9,1/21/16,1/22/16,251
541,N11,1/21/16,1/22/16,251
542,N12,1/21/16,1/22/16,251
543,N32,3/26/16,3/28/16,252
544,N33,3/26/16,3/28/16,252
545,N46,3/26/16,3/28/16,252
546,N47,3/26/16,3/28/16,252
547,N57,3/26/16,3/28/16,252
548,N58,3/26/16,3/28/16,252
549,L5,3/10/16,3/13/16,253
550,L12,3/10/16,3/13/16,253
551,S0,1/29/16,2/3/16,254
552,S1,1/29/16,2/3/16,254
553,X0,1/25/16,1/31/16,255
554,L6,2/6/16,2/10/16,257
555,L7,2/6/16,2/10/16,257
556,L2,1/20/16,1/25/16,258
557,L3,1/20/16,1/25/16,258
558,N4,2/5/16,2/15/16,259
559,N5,2/5/16,2/15/16,259
560,N6,2/5/16,2/15/16,259
561,N7,2/5/16,2/15/16,259
562,N8,2/5/16,2/15/16,259
563,N9,2/5/16,2/15/16,259
564,L9,3/12/16,3/15/16,260
565,X4,1/14/16,1/16/16,261
566,X6,1/14/16,1/16/16,261
567,D32,2/3/16,2/7/16,262
568,D38,2/3/16,2/7/16,262
569,D4,2/13/16,2/16/16,263
570,L2,1/1/16,1/5/16,264
571,S63,3/21/16,3/23/16,265
572,S71,3/21/16,3/23/16,265
573,S72,3/21/16,3/23/16,265
574,S84,3/21/16,3/23/16,265
575,L5,2/16/16,2/20/16,266
576,S0,2/26/16,2/28/16,268
577,S1,2/26/16,2/28/16,268
578,S2,2/26/16,2/28/16,268
579,S3,2/26/16,2/28/16,268
580,S4,2/26/16,2/28/16,268
581,S18,1/12/16,1/18/16,269
582,S19,1/12/16,1/18/16,269
583,S20,1/12/16,1/18/16,269
584,X0,2/19/16,2/23/16,270
585,X3,2/19/16,2/23/16,270
586,N17,2/29/16,3/6/16,271
587,S3,1/10/16,1/12/16,272
588,S4,1/10/16,1/12/16,272
589,S14,3/19/16,3/22/16,273
590,S15,3/19/16,3/22/16,273
591,S21,3/19/16,3/22/16,273
592,N20,3/15/16,3/17/16,275
593,N15,2/27/16,3/8/16,276
594,N16,2/27/16,3/8/16,276
595,S0,1/4/16,1/9/16,277
596,S1,1/4/16,1/9/16,277
597,N39,2/27/16,3/1/16,278
598,N40,2/27/16,3/1/16,278
599,N92,2/27/16,3/1/16,278
600,N93,2/27/16,3/1/16,278
601,N94,2/27/16,3/1/16,278
602,N17,2/28/16,2/29/16,279
603,N97,2/28/16,2/29/16,279
604,N100,2/28/16,2/29/16,279
605,D8,2/10/16,2/14/16,280
606,S2,1/25/16,2/8/16,281
607,S3,1/25/16,2/8/16,281
608,S4,1/25/16,2/8/16,281
609,N31,1/5/16,1/7/16,282
610,N32,1/5/16,1/7/16,282
611,N33,1/5/16,1/7/16,282
612,N34,1/5/16,1/7/16,282
613,N47,3/21/16,3/22/16,284
614,N53,3/21/16,3/22/16,284
615,N54,3/21/16,3/22/16,284
616,N55,3/21/16,3/22/16,284
617,S44,2/4/16,2/6/16,285
618,S48,2/4/16,2/6/16,285
619,S49,2/4/16,2/6/16,285
620,S50,2/4/16,2/6/16,285
621,S51,2/4/16,2/6/16,285
622,X1,3/5/16,3/8/16,286
623,X2,3/5/16,3/8/16,286
624,X1,3/3/16,3/5/16,287
625,X2,3/3/16,3/5/16,287
626,X4,3/3/16,3/5/16,287
627,N7,3/30/16,4/4/16,288
628,N8,3/30/16,4/4/16,288
629,N9,3/30/16,4/4/16,288
630,N10,3/30/16,4/4/16,288
631,N11,3/30/16,4/4/16,288
632,D1,1/21/16,1/25/16,289
633,D11,3/13/16,3/16/16,290
634,X9,2/9/16,2/11/16,291
635,X19,2/9/16,2/11/16,291
636,X20,2/9/16,2/11/16,291
637,L3,3/6/16,3/7/16,292
638,S7,3/5/16,3/12/16,293
639,S8,3/5/16,3/12/16,293
640,S9,3/5/16,3/12/16,293
641,X1,1/26/16,1/27/16,294
642,X3,1/26/16,1/27/16,294
643,D6,3/4/16,3/5/16,295
644,D7,3/4/16,3/5/16,295
645,D8,3/4/16,3/5/16,295
646,X4,1/7/16,1/10/16,296
647,D17,1/6/16,1/7/16,297
648,D18,1/6/16,1/7/16,297
649,D26,1/6/16,1/7/16,297
650,N12,3/29/16,4/9/16,298
651,N13,3/29/16,4/9/16,298
652,N14,3/29/16,4/9/16,298
653,L6,2/17/16,2/19/16,299
654,L7,2/17/16,2/19/16,299
655,N11,1/3/16,1/6/16,300
656,N12,1/3/16,1/6/16,300
657,N13,1/3/16,1/6/16,300
658,N14,1/3/16,1/6/16,300
659,N15,1/3/16,1/6/16,300
660,N0,1/24/16,1/26/16,301
661,N1,1/24/16,1/26/16,301
662,N13,1/24/16,1/26/16,301
663,N14,1/24/16,1/26/16,301
664,N56,3/21/16,3/23/16,302
665,N59,3/21/16,3/23/16,302
666,N76,3/21/16,3/23/16,302
667,X2,2/15/16,2/18/16,303
668,N21,3/12/16,3/22/16,304
669,N22,3/12/16,3/22/16,304
670,N23,3/12/16,3/22/16,304
671,N24,3/12/16,3/22/16,304
672,N25,3/12/16,3/22/16,304
673,N26,3/12/16,3/22/16,304
674,D27,2/20/16,2/23/16,305
675,D31,2/20/16,2/23/16,305
676,D35,2/20/16,2/23/16,305
677,L0,1/6/16,1/17/16,306
678,X3,2/6/16,2/8/16,307
679,X10,2/6/16,2/8/16,307
680,X12,2/27/16,3/3/16,308
681,X44,3/17/16,3/18/16,309
682,S0,2/28/16,3/3/16,310
683,S1,2/28/16,3/3/16,310
684,S2,2/28/16,3/3/16,310
685,X13,3/1/16,3/5/16,312
686,S3,3/28/16,4/6/16,313
687,D1,3/10/16,3/17/16,314
688,D2,3/10/16,3/17/16,314
689,D0,3/9/16,3/14/16,315
690,D9,3/9/16,3/14/16,315
691,L4,1/22/16,1/29/16,316
692,L5,1/22/16,1/29/16,316
693,L0,1/17/16,1/20/16,317
694,N11,1/7/16,1/9/16,318
695,N13,1/7/16,1/9/16,318
696,N14,1/7/16,1/9/16,318
697,N15,1/7/16,1/9/16,318
698,X1,3/28/16,4/1/16,319
699,S2,1/6/16,1/9/16,320
700,S3,1/6/16,1/9/16,320
701,N8,2/22/16,2/28/16,321
702,N9,2/22/16,2/28/16,321
703,N10,2/22/16,2/28/16,321
704,D6,3/25/16,4/2/16,322
705,N14,2/4/16,2/6/16,323
706,N20,2/4/16,2/6/16,323
707,N21,2/4/16,2/6/16,323
708,N26,2/4/16,2/6/16,323
709,N27,2/4/16,2/6/16,323
710,N28,2/4/16,2/6/16,323
711,N29,2/4/16,2/6/16,323
712,N41,2/4/16,2/6/16,323
713,N55,2/4/16,2/6/16,323
714,L1,2/14/16,2/17/16,324
715,L3,3/12/16,3/17/16,325
716,S7,2/7/16,2/11/16,326
717,S8,2/7/16,2/11/16,326
718,S9,2/7/16,2/11/16,326
719,S15,3/29/16,3/31/16,327
720,S16,3/29/16,3/31/16,327
721,S17,3/29/16,3/31/16,327
722,S72,3/29/16,3/31/16,327
723,N19,3/2/16,3/5/16,328
724,N30,3/2/16,3/5/16,328
725,N31,3/2/16,3/5/16,328
726,X9,1/11/16,1/21/16,329
727,L4,3/15/16,3/21/16,330
728,X4,1/15/16,1/17/16,331
729,X6,1/15/16,1/17/16,331
730,X3,2/17/16,2/19/16,332
731,X4,2/17/16,2/19/16,332
732,X5,2/17/16,2/19/16,332
733,L2,2/29/16,3/11/16,333
734,X3,2/8/16,2/14/16,335
735,D2,2/5/16,2/12/16,336
736,D3,2/5/16,2/12/16,336
737,N0,2/9/16,2/13/16,337
738,N1,2/9/16,2/13/16,337
