Store,Brand,Type,Gender,Size,Color,Category,Sales Price,Date,Time,Loyalty,loyalty.2,sales.price.formatted
Rotterdam,Nike,Dri-Fit No-Show,Unisex,44-46,Black,Socks,20.00,8/1/15,4:03 PM,32985,32985.00,
Rotterdam,Asics,MB1878,Male,38,Black,Pants,99.00,8/1/15,4:16 PM,---,---,
Rotterdam,Asics,MB1878,Male,44,Black,Pants,99.00,8/1/15,4:38 PM,31217,31217.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,40-42,Green,Socks,12.99,8/1/15,4:56 PM,---,---,
Rotterdam,Asics,Kayano Single Tab,Unisex,38-40,Blue,Socks,24.99,8/1/15,5:06 PM,39794,39794.00,
Rotterdam,Asics,WB1820,Female,44,Black,Pants,89.00,8/1/15,5:15 PM,---,---,
Rotterdam,Asics,WB1820,Female,43,Multicolor,Pants,89.00,8/1/15,5:19 PM,36646,36646.00,
Rotterdam,Nike,Pro Fierce,Female,70C,Multicolor,Bra,149.00,8/1/15,5:20 PM,36942,36942.00,
Rotterdam,Nike,Pro Fierce,Female,75F,Multicolor,Bra,149.00,8/2/15,9:42 AM,30377,30377.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,40-42,Pink,Socks,24.99,8/2/15,9:44 AM,33195,33195.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,38-40,Black,Socks,20.00,8/2/15,9:58 AM,32115,32115.00,
Rotterdam,Nike,Hyper Elite Crew,Unisex,46-48,Blue,Socks,20.00,8/2/15,10:02 AM,36693,36693.00,
Rotterdam,Asics,WB2585,Female,38,Black,Pants,99.00,8/2/15,10:02 AM,---,---,
Rotterdam,Nike,Air Zoom,Female,40,Grey,Shoe,230.00,8/2/15,10:08 AM,33330,33330.00,
Rotterdam,Nike,Pro Indy,Female,90C,Green,Bra,123.00,8/2/15,10:13 AM,37757,37757.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,40-42,Blue,Socks,12.99,8/2/15,10:13 AM,---,---,
Rotterdam,Asics,WB1820,Female,39,Yellow,Pants,89.00,8/2/15,10:16 AM,34818,34818.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,38-40,Green,Socks,24.99,8/2/15,10:30 AM,---,---,
Rotterdam,Asics,Nimbus 17,Male,45,Pink,Shoe,128.00,8/2/15,10:41 AM,38148,38148.00,
Rotterdam,Nike,Air Zoom,Female,37,Yellow,Shoe,230.00,8/2/15,10:59 AM,35430,35430.00,
Rotterdam,Asics,MB1878,Male,37,Black,Pants,99.00,8/2/15,11:12 AM,38218,38218.00,
Rotterdam,Asics,WB1820,Female,44,Multicolor,Pants,89.00,8/2/15,11:15 AM,35268,35268.00,
Rotterdam,Asics,WB2585,Female,38,Black,Pants,99.00,8/2/15,11:25 AM,33164,33164.00,
Rotterdam,Asics,WB1820,Female,38,Pink,Pants,89.00,8/2/15,11:28 AM,---,---,
Rotterdam,Nike,Pro Fierce,Female,90C,Multicolor,Bra,149.00,8/2/15,11:30 AM,---,---,
Rotterdam,Asics,MB1878,Male,39,Black,Pants,99.00,8/2/15,11:30 AM,---,---,
Rotterdam,Nike,Pro Hero,Female,70F,Pink,Bra,99.00,8/2/15,11:38 AM,38203,38203.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,46-48,Blue,Socks,12.99,8/2/15,11:53 AM,32412,32412.00,
Rotterdam,Asics,WB1820,Female,45,Grey,Pants,89.00,8/2/15,12:08 PM,---,---,
Rotterdam,Asics,Quick Light Cushion,Unisex,44-46,Black,Socks,19.00,8/2/15,12:08 PM,---,---,
Rotterdam,Nike,Pro Indy,Female,65B,Multicolor,Bra,123.00,8/2/15,12:14 PM,38319,38319.00,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,42-44,Pink,Socks,21.00,8/2/15,12:19 PM,---,---,
Rotterdam,Nike,Hyper Elite Crew,Unisex,42-44,Blue,Socks,20.00,8/2/15,12:27 PM,35801,35801.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,44-46,Blue,Socks,12.99,8/2/15,12:29 PM,38743,38743.00,
Rotterdam,Nike,Hyper Elite Crew,Unisex,44-46,Pink,Socks,20.00,8/2/15,12:50 PM,32580,32580.00,
Rotterdam,Asics,MB1878,Male,45,Black,Pants,99.00,8/2/15,12:54 PM,34479,34479.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,42-44,Blue,Socks,24.99,8/2/15,1:28 PM,32906,32906.00,
Rotterdam,Nike,Hyper Elite Crew,Unisex,46-48,Blue,Socks,20.00,8/2/15,1:59 PM,36543,36543.00,
Rotterdam,Asics,MB1878,Male,46,Black,Pants,99.00,8/2/15,2:14 PM,---,---,
Rotterdam,Asics,Quick Light Cushion,Unisex,46-48,Blue,Socks,19.00,8/2/15,2:45 PM,37417,37417.00,
Rotterdam,Asics,Nimbus 17,Female,43,Blue,Shoe,128.00,8/2/15,2:48 PM,---,---,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,42-44,Blue,Socks,21.00,8/2/15,2:56 PM,35566,35566.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,38-40,Green,Socks,12.99,8/2/15,3:01 PM,39506,39506.00,
Rotterdam,Asics,WB1820,Female,42,Yellow,Pants,89.00,8/2/15,3:01 PM,---,---,
Rotterdam,Nike,Pro Fierce,Female,75F,Grey,Bra,149.00,8/2/15,3:08 PM,---,---,
Rotterdam,Nike,Free 5.0,Female,45,Yellow,Shoe,239.00,8/2/15,3:34 PM,30952,30952.00,
Rotterdam,Asics,WB1820,Female,38,Blue,Pants,89.00,8/2/15,3:36 PM,---,---,
Rotterdam,Asics,WB1820,Female,36,Multicolor,Pants,89.00,8/2/15,3:37 PM,37868,37868.00,
Rotterdam,Nike,Pro Fierce,Female,85A,Blue,Bra,149.00,8/2/15,3:55 PM,37232,37232.00,
Rotterdam,Nike,Pro Hero,Female,90A,Black,Bra,99.00,8/2/15,3:57 PM,35695,35695.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,38-40,Black,Socks,20.00,8/2/15,4:05 PM,---,---,
Rotterdam,Asics,Kayano Single Tab,Unisex,44-46,Pink,Socks,24.99,8/2/15,4:10 PM,35057,35057.00,
Rotterdam,Asics,MB1878,Male,41,Black,Pants,99.00,8/2/15,4:21 PM,36503,36503.00,
Rotterdam,Asics,MB1878,Male,41,Black,Pants,99.00,8/2/15,4:26 PM,35784,35784.00,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,46-48,Pink,Socks,21.00,8/2/15,4:41 PM,---,---,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Blue,Socks,21.00,8/2/15,4:41 PM,---,---,
Rotterdam,Asics,WB1820,Female,43,Black,Pants,89.00,8/2/15,5:17 PM,34512,34512.00,
Rotterdam,Asics,MB1878,Male,37,Black,Pants,99.00,8/3/15,9:36 AM,31274,31274.00,
Rotterdam,Nike,Pro Indy,Female,90A,Black,Bra,123.00,8/3/15,9:39 AM,30194,30194.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,46-48,Black,Socks,19.00,8/3/15,9:44 AM,34969,34969.00,
Rotterdam,Asics,WB1820,Female,46,Pink,Pants,89.00,8/3/15,9:49 AM,---,---,
Rotterdam,Asics,MB1878,Male,37,Black,Pants,99.00,8/3/15,10:00 AM,36766,36766.00,
Rotterdam,Asics,WB1820,Female,41,Pink,Pants,89.00,8/3/15,10:00 AM,36766,36766.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,44-46,Black,Socks,19.00,8/3/15,10:02 AM,34331,34331.00,
Rotterdam,Nike,Pro Hero,Female,70A,Yellow,Bra,99.00,8/3/15,10:18 AM,---,---,
Rotterdam,Asics,Hera Deux Single Tab,Female,42-44,Green,Socks,12.99,8/3/15,10:25 AM,33357,33357.00,
Rotterdam,Nike,Air Zoom,Female,39,Blue,Shoe,230.00,8/3/15,10:39 AM,---,---,
Rotterdam,Nike,Hyper Elite Crew,Unisex,46-48,Blue,Socks,20.00,8/3/15,10:39 AM,---,---,
Rotterdam,Asics,Cummulus 17,Female,37,Pink,Shoe,159.00,8/3/15,10:57 AM,36300,36300.00,
Rotterdam,Asics,WB1820,Female,37,Green,Pants,89.00,8/3/15,11:09 AM,36367,36367.00,
Rotterdam,Nike,Air Zoom,Male,39,Pink,Shoe,220.00,8/3/15,11:25 AM,38317,38317.00,
Rotterdam,Nike,Air Zoom,Male,39,Blue,Shoe,220.00,8/3/15,11:30 AM,33070,33070.00,
Rotterdam,Asics,MB1878,Male,45,Black,Pants,99.00,8/3/15,11:32 AM,38745,38745.00,
Rotterdam,Nike,Pro Fierce,Female,70A,Blue,Bra,149.00,8/3/15,11:50 AM,31124,31124.00,
Rotterdam,Asics,WB1820,Female,44,Green,Pants,89.00,8/3/15,11:56 AM,35535,35535.00,
Rotterdam,Asics,Cummulus 17,Male,45,Pink,Shoe,159.00,8/3/15,12:00 PM,34394,34394.00,
Rotterdam,Asics,WB1820,Female,38,Yellow,Pants,89.00,8/3/15,12:06 PM,---,---,
Rotterdam,Asics,WB1820,Female,44,Multicolor,Pants,89.00,8/3/15,12:11 PM,39478,39478.00,
Rotterdam,Nike,Free 5.0,Male,39,Grey,Shoe,239.00,8/3/15,12:11 PM,39478,39478.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,46-48,Black,Socks,12.99,8/3/15,12:21 PM,---,---,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,40-42,Black,Socks,20.00,8/3/15,12:21 PM,---,---,
Rotterdam,Asics,Quick Light Cushion,Unisex,40-42,Green,Socks,19.00,8/3/15,12:29 PM,39337,39337.00,
Rotterdam,Nike,Pro Indy,Female,90A,Grey,Bra,123.00,8/3/15,12:57 PM,33367,33367.00,
Rotterdam,Nike,Air Zoom,Female,43,Yellow,Shoe,230.00,8/3/15,12:58 PM,39859,39859.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,36-38,Green,Socks,24.99,8/3/15,1:08 PM,37393,37393.00,
Rotterdam,Asics,MB1878,Male,42,Black,Pants,99.00,8/3/15,1:13 PM,30543,30543.00,
Rotterdam,Asics,WB1820,Female,37,Grey,Pants,89.00,8/3/15,1:16 PM,---,---,
Rotterdam,Nike,Pro Classic,Female,90B,Blue,Bra,100.00,8/3/15,1:21 PM,38642,38642.00,
Rotterdam,Asics,WB2585,Female,37,Black,Pants,99.00,8/3/15,1:30 PM,38105,38105.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,40-42,Black,Socks,24.99,8/3/15,1:39 PM,34809,34809.00,
Rotterdam,Nike,Hyper Elite Crew,Unisex,36-38,Pink,Socks,20.00,8/3/15,1:48 PM,---,---,
Rotterdam,Nike,Pro Fierce,Female,90D,Yellow,Bra,149.00,8/3/15,1:56 PM,30104,30104.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,38-40,Green,Socks,19.00,8/3/15,2:01 PM,36450,36450.00,
Rotterdam,Asics,WB1820,Female,45,Yellow,Pants,89.00,8/3/15,2:06 PM,37971,37971.00,
Rotterdam,Nike,Free 5.0,Male,36,Grey,Shoe,239.00,8/3/15,2:09 PM,37193,37193.00,
Rotterdam,Nike,Hyper Elite Crew,Unisex,42-44,Green,Socks,20.00,8/3/15,2:46 PM,35481,35481.00,
Rotterdam,Nike,Pro Indy,Female,75E,Black,Bra,123.00,8/3/15,2:51 PM,37702,37702.00,
Rotterdam,Asics,WB1820,Female,45,Pink,Pants,89.00,8/3/15,2:58 PM,37673,37673.00,
Rotterdam,Nike,Hyper Elite Crew,Unisex,44-46,Black,Socks,20.00,8/3/15,3:00 PM,32552,32552.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,38-40,Blue,Socks,20.00,8/3/15,3:09 PM,38149,38149.00,
Rotterdam,Asics,Nimbus 17,Male,41,Multicolor,Shoe,128.00,8/3/15,3:16 PM,34706,34706.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,38-40,Black,Socks,12.99,8/3/15,3:39 PM,31340,31340.00,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,40-42,Green,Socks,21.00,8/3/15,3:40 PM,35348,35348.00,
Rotterdam,Nike,Free 5.0,Male,46,Multicolor,Shoe,239.00,8/3/15,3:47 PM,33907,33907.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,36-38,Pink,Socks,20.00,8/3/15,3:49 PM,31105,31105.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,38-40,Black,Socks,24.99,8/3/15,4:07 PM,36591,36591.00,
Rotterdam,Asics,WB2585,Female,44,Black,Pants,99.00,8/3/15,4:13 PM,---,---,
Rotterdam,Asics,Kayano Single Tab,Unisex,46-48,Pink,Socks,24.99,8/3/15,4:25 PM,---,---,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,38-40,Blue,Socks,21.00,8/3/15,4:28 PM,39204,39204.00,
Rotterdam,Nike,Free 5.0,Female,38,Grey,Shoe,239.00,8/3/15,4:49 PM,32672,32672.00,
Rotterdam,Nike,Pro Fierce,Female,85E,Pink,Bra,149.00,8/3/15,4:52 PM,35505,35505.00,
Rotterdam,Asics,WB1820,Female,36,Pink,Pants,89.00,8/3/15,5:01 PM,---,---,
Rotterdam,Nike,Pro Fierce,Female,65F,Green,Bra,149.00,8/3/15,5:04 PM,---,---,
Rotterdam,Nike,Pro Fierce,Female,65E,Multicolor,Bra,149.00,8/3/15,5:19 PM,33443,33443.00,
Rotterdam,Asics,WB1820,Female,37,Black,Pants,89.00,8/3/15,5:20 PM,---,---,
Rotterdam,Asics,MB1878,Male,44,Black,Pants,99.00,8/3/15,5:27 PM,---,---,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,36-38,Pink,Socks,20.00,8/3/15,5:40 PM,39027,39027.00,
Rotterdam,Asics,WB1820,Female,39,Yellow,Pants,89.00,8/4/15,9:44 AM,---,---,
Rotterdam,Asics,WB1820,Female,39,Green,Pants,89.00,8/4/15,9:45 AM,37357,37357.00,
Rotterdam,Asics,WB2585,Female,41,Black,Pants,99.00,8/4/15,9:58 AM,39249,39249.00,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,40-42,Blue,Socks,21.00,8/4/15,10:03 AM,31654,31654.00,
Rotterdam,Asics,MB1878,Male,46,Black,Pants,99.00,8/4/15,10:18 AM,37139,37139.00,
Rotterdam,Asics,MB1878,Male,46,Black,Pants,99.00,8/4/15,10:28 AM,39145,39145.00,
Rotterdam,Nike,Pro Hero,Female,65B,Grey,Bra,99.00,8/4/15,10:31 AM,---,---,
Rotterdam,Asics,WB1820,Female,42,Multicolor,Pants,89.00,8/4/15,10:44 AM,---,---,
Rotterdam,Nike,Pro Fierce,Female,65B,Multicolor,Bra,149.00,8/4/15,11:01 AM,---,---,
Rotterdam,Asics,MB1878,Male,45,Black,Pants,99.00,8/4/15,11:06 AM,38222,38222.00,
Rotterdam,Nike,Pro Classic,Female,90C,Black,Bra,100.00,8/4/15,11:10 AM,38978,38978.00,
Rotterdam,Asics,Nimbus 17,Male,36,Black,Shoe,128.00,8/4/15,11:32 AM,---,---,
Rotterdam,Asics,Quick Light Cushion,Unisex,40-42,Green,Socks,19.00,8/4/15,11:38 AM,35398,35398.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,44-46,Blue,Socks,19.00,8/4/15,11:38 AM,35398,35398.00,
Rotterdam,Asics,MB1878,Male,44,Black,Pants,99.00,8/4/15,12:24 PM,---,---,
Rotterdam,Nike,Pro Fierce,Female,80A,Yellow,Bra,149.00,8/4/15,1:03 PM,30703,30703.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,40-42,Black,Socks,20.00,8/4/15,1:10 PM,---,---,
Rotterdam,Asics,Kayano Single Tab,Unisex,36-38,Pink,Socks,24.99,8/4/15,1:12 PM,30243,30243.00,
Rotterdam,Nike,Free 5.0,Female,40,Blue,Shoe,239.00,8/4/15,1:15 PM,35697,35697.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,40-42,Blue,Socks,20.00,8/4/15,1:18 PM,34720,34720.00,
Rotterdam,Nike,Air Zoom,Male,40,Black,Shoe,220.00,8/4/15,1:23 PM,31368,31368.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,42-44,Blue,Socks,24.99,8/4/15,1:25 PM,33637,33637.00,
Rotterdam,Nike,Hyper Elite Crew,Unisex,44-46,Blue,Socks,20.00,8/4/15,1:26 PM,---,---,
Rotterdam,Asics,MB1878,Male,41,Black,Pants,99.00,8/4/15,1:54 PM,36867,36867.00,
Rotterdam,Asics,MB1878,Male,45,Black,Pants,99.00,8/4/15,2:12 PM,31233,31233.00,
Rotterdam,Asics,WB1820,Female,39,Green,Pants,89.00,8/4/15,2:20 PM,38628,38628.00,
Rotterdam,Nike,Air Zoom,Female,45,Pink,Shoe,230.00,8/4/15,2:32 PM,---,---,
Rotterdam,Asics,MB1878,Male,37,Black,Pants,99.00,8/4/15,2:38 PM,32672,32672.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,40-42,Green,Socks,19.00,8/4/15,2:40 PM,32023,32023.00,
Rotterdam,Asics,WB1820,Female,36,Blue,Pants,89.00,8/4/15,2:46 PM,---,---,
Rotterdam,Nike,Free 5.0,Male,40,Blue,Shoe,239.00,8/4/15,2:48 PM,31487,31487.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,36-38,Pink,Socks,20.00,8/4/15,2:48 PM,---,---,
Rotterdam,Nike,Pro Classic,Female,90A,Black,Bra,100.00,8/4/15,2:56 PM,31003,31003.00,
Rotterdam,Asics,WB1820,Female,46,Multicolor,Pants,89.00,8/4/15,3:19 PM,32116,32116.00,
Rotterdam,Nike,Pro Hero,Female,80C,Pink,Bra,99.00,8/4/15,3:29 PM,---,---,
Rotterdam,Asics,WB1820,Female,46,Multicolor,Pants,89.00,8/4/15,3:36 PM,33379,33379.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,38-40,Green,Socks,24.99,8/4/15,3:55 PM,39888,39888.00,
Rotterdam,Nike,Pro Classic,Female,70F,Yellow,Bra,100.00,8/4/15,4:13 PM,---,---,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,44-46,Green,Socks,21.00,8/4/15,4:16 PM,31439,31439.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,42-44,Pink,Socks,20.00,8/4/15,4:20 PM,31893,31893.00,
Rotterdam,Nike,Pro Classic,Female,65F,Blue,Bra,100.00,8/4/15,4:21 PM,33203,33203.00,
Rotterdam,Asics,WB1820,Female,38,Blue,Pants,89.00,8/4/15,4:41 PM,37162,37162.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,44-46,Blue,Socks,20.00,8/4/15,4:44 PM,---,---,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,46-48,Black,Socks,20.00,8/4/15,5:04 PM,37628,37628.00,
Rotterdam,Nike,Air Zoom,Female,40,Yellow,Shoe,230.00,8/4/15,5:19 PM,37458,37458.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,46-48,Pink,Socks,20.00,8/4/15,5:38 PM,31802,31802.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,44-46,Green,Socks,19.00,8/4/15,5:42 PM,---,---,
Rotterdam,Asics,Nimbus 17,Male,45,Grey,Shoe,128.00,8/5/15,9:32 AM,---,---,
Rotterdam,Nike,Pro Fierce,Female,85B,Pink,Bra,149.00,8/5/15,9:34 AM,35562,35562.00,
Rotterdam,Asics,Nimbus 17,Female,46,Green,Shoe,128.00,8/5/15,9:39 AM,38525,38525.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,36-38,Pink,Socks,12.99,8/5/15,9:55 AM,39315,39315.00,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,36-38,Black,Socks,21.00,8/5/15,10:08 AM,33384,33384.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,40-42,Black,Socks,19.00,8/5/15,10:16 AM,---,---,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,42-44,Blue,Socks,20.00,8/5/15,10:20 AM,---,---,
Rotterdam,Asics,Quick Light Cushion,Unisex,38-40,Blue,Socks,19.00,8/5/15,10:23 AM,---,---,
Rotterdam,Asics,MB1878,Male,37,Black,Pants,99.00,8/5/15,10:23 AM,---,---,
Rotterdam,Asics,WB1820,Female,44,Blue,Pants,89.00,8/5/15,10:48 AM,38881,38881.00,
Rotterdam,Asics,WB1820,Female,36,Green,Pants,89.00,8/5/15,11:02 AM,32766,32766.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,44-46,Blue,Socks,19.00,8/5/15,11:42 AM,39097,39097.00,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,44-46,Blue,Socks,21.00,8/5/15,11:50 AM,30955,30955.00,
Rotterdam,Asics,Kayano Single Tab,Unisex,40-42,Green,Socks,24.99,8/5/15,12:08 PM,---,---,
Rotterdam,Nike,Pro Hero,Female,90D,Green,Bra,99.00,8/5/15,12:19 PM,---,---,
Rotterdam,Nike,Hyper Elite Crew,Unisex,46-48,Pink,Socks,20.00,8/5/15,12:24 PM,30163,30163.00,
Rotterdam,Asics,WB1820,Female,39,Green,Pants,89.00,8/5/15,12:32 PM,33933,33933.00,
Rotterdam,Asics,Hera Deux Single Tab,Female,40-42,Blue,Socks,12.99,8/5/15,12:49 PM,30740,30740.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,42-44,Green,Socks,20.00,8/5/15,1:15 PM,---,---,
Rotterdam,Asics,MB1878,Male,40,Black,Pants,99.00,8/5/15,1:18 PM,30550,30550.00,
Rotterdam,Asics,WB1820,Female,40,Multicolor,Pants,89.00,8/5/15,1:38 PM,---,---,
Rotterdam,Asics,MB1878,Male,44,Black,Pants,99.00,8/5/15,1:38 PM,---,---,
Rotterdam,Asics,MB1878,Male,36,Black,Pants,99.00,8/5/15,1:46 PM,33173,33173.00,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,46-48,Green,Socks,21.00,8/5/15,1:49 PM,35721,35721.00,
Rotterdam,Asics,MB1878,Male,43,Black,Pants,99.00,8/5/15,1:57 PM,35761,35761.00,
Rotterdam,Asics,Quick Light Cushion,Unisex,38-40,Black,Socks,19.00,8/5/15,2:02 PM,---,---,
Rotterdam,Nike,Hyper Elite Crew,Unisex,38-40,Pink,Socks,20.00,8/5/15,2:17 PM,---,---,
Rotterdam,Nike,Air Zoom,Female,42,Black,Shoe,230.00,8/5/15,2:17 PM,---,---,
Rotterdam,Asics,WB1820,Female,41,Multicolor,Pants,89.00,8/5/15,2:20 PM,39744,39744.00,
Rotterdam,Asics,WB1820,Female,43,Green,Pants,89.00,8/5/15,2:28 PM,34990,34990.00,
Rotterdam,Asics,MB1878,Male,43,Black,Pants,99.00,8/5/15,2:37 PM,---,---,
Rotterdam,Nike,Pro Fierce,Female,65F,Yellow,Bra,149.00,8/5/15,2:45 PM,---,---,
Rotterdam,Asics,Cummulus 17,Female,38,Green,Shoe,159.00,8/5/15,2:51 PM,---,---,
Rotterdam,Asics,Kayano Single Tab,Unisex,44-46,Blue,Socks,24.99,8/5/15,2:51 PM,---,---,
Rotterdam,Nike,Air Zoom,Female,41,Multicolor,Shoe,230.00,8/5/15,3:26 PM,---,---,
Rotterdam,Asics,MB1878,Male,41,Black,Pants,99.00,8/5/15,3:39 PM,31378,31378.00,
Rotterdam,Nike,Pro Fierce,Female,80D,Blue,Bra,149.00,8/5/15,3:42 PM,---,---,
Rotterdam,Asics,WB1820,Female,42,Yellow,Pants,89.00,8/5/15,3:57 PM,---,---,
Rotterdam,Asics,Quick Light Cushion,Unisex,38-40,Black,Socks,19.00,8/5/15,4:03 PM,34238,34238.00,
Rotterdam,Nike,Air Zoom,Male,36,Multicolor,Shoe,220.00,8/5/15,4:08 PM,35508,35508.00,
Rotterdam,Asics,MB1878,Male,45,Black,Pants,99.00,8/5/15,4:15 PM,32046,32046.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,44-46,Pink,Socks,20.00,8/5/15,4:30 PM,39230,39230.00,
Rotterdam,Asics,WB1820,Female,46,Multicolor,Pants,89.00,8/5/15,4:30 PM,---,---,
Rotterdam,Nike,Nike Elite Match Fit Mercurial Crew,Unisex,46-48,Blue,Socks,21.00,8/5/15,4:41 PM,31047,31047.00,
Rotterdam,Nike,Dri-Fit No-Show,Unisex,38-40,Green,Socks,20.00,8/5/15,4:46 PM,---,---,
